B;IMG_0374.jpg;SCHIEGL;2019;Collage;Toulouse;40 x 30 cm;-
B;IMG_0457.jpg;SCHIEGL;2021;Collage;Pech Merle Höhle;60 x 40cm;-
C;IMG_0002.jpg;SCHIEGL;2013;Rost, Acryl;Seerosenblatt;30 x 30 cm;-
C;IMG_0005.jpg;SCHIEGL;2013;Rost, Acryl;o.Titel;60 x 60 cm;-
C;IMG_0006.jpg;SCHIEGL;2013;Rost, Acryl;o.Titel;60 x 60 cm;-
C;IMG_0007.jpg;SCHIEGL;2014;Rost, Seide, Acryl;o.Titel;60 x 50 cm;-
C;IMG_0326.jpg;SCHIEGL;2013;Rost, Collage, Acryl;o.Titel;40 x 60 cm;-
C;IMG_0380.jpg;SCHIEGL;2021;Rost, Acryl;flüchtig;50 x 50 cm;-
D;IMG_0444.jpg;SCHIEGL;2002;Aquarell;Schmetterling Adrian;40 x 30 cm;-
D;IMG_0327.jpg;SCHIEGL;2005;Pastell;o.Titel;50 x 60 cm;-
D;IMG_0329.jpg;SCHIEGL;2012;Marmormehl, Pigmente;POMPEJI;80 x 80 cm;-
D;IMG_0336.jpg;SCHIEGL;2005;Pastell;o.Titel;60 x 50 cm;-
D;IMG_0361.jpg;SCHIEGL;2021;Aquarell;o.Titel;24 x 32 cm;-
D;IMG_0367.jpg;SCHIEGL;2021;Aquarell;o.Titel;24 x 32 cm;-
D;IMG_0368.jpg;SCHIEGL;2021;Aquarell;o.Titel;24 x 32 cm;-
D;IMG_0363.jpg;SCHIEGL;2021;Aquarell;o.Titel;24 x 32 cm;-
E;IMG_0443.jpg;SCHIEGL;2020;Acryl;o.Titel;50 x 40 cm;-
E;IMG_0444.jpg;SCHIEGL;2020;Acryl;o.Titel;50 x 40 cm;-
E;IMG_0445.jpg;SCHIEGL;2019;Acryl;o.Titel;50 x 40 cm;-
